CodeNaf1;LibelléNaf1
01.1;Culture
01.2;Elevage
01.3;Culture et élevage associés
01.4;Services annexes à l'agriculture et aménagement des paysages
01.5;Chasse
02.0;Sylviculture, exploitation forestière, services annexes
05.0;Pêche, aquaculture, services annexes
10.1;Extraction et agglomération de la houille
10.2;Extraction et agglomération du lignite
10.3;Extraction et agglomération de la tourbe
11.1;Extraction d'hydrocarbures
11.2;Services annexes à l'extraction d'hydrocarbures
12.0;Extraction de minerais d'uranium
13.1;Extraction de minerais de fer
13.2;Extraction de minerais de métaux non ferreux
14.1;Extraction de pierres
14.2;Extraction de sables et d'argiles
14.3;Extraction de minéraux pour l'industrie chimique et d'engrais naturels
14.4;Production de sel
14.5;Activités extractives n.c.a.
15.1;Industrie des viandes
15.2;Industrie du poisson
15.3;Industrie des fruits et légumes
15.4;Industrie des corps gras
15.5;Industrie laitière
15.6;"Travail des grains ; fabrication de produits amylacés"
15.7;Fabrication d'aliments pour animaux
15.8;Autres industries alimentaires
15.9;Industrie des boissons
16.0;Industrie du tabac
17.1;Filature
17.2;Tissage
17.3;Ennoblissement textile
17.4;Fabrication d'articles textiles
17.5;Autres industries textiles
17.6;Fabrication d'étoffes à maille
17.7;Fabrication d'articles à maille
18.1;Fabrication de vêtements en cuir
18.2;Fabrication de vêtements en textile
18.3;Industrie des fourrures
19.1;Apprêt et tannage des cuirs
19.2;Fabrication d'articles de voyage et de maroquinerie
19.3;Fabrication de chaussures
20.1;Sciage, rabotage, imprégnation du bois
20.2;Fabrication de panneaux de bois
20.3;Fabrication de charpentes et de menuiseries
20.4;Fabrication d'emballages en bois
20.5;Fabrication d'objets divers en bois, liège ou vannerie
21.1;Fabrication de pâte à papier, de papier et de carton
21.2;Fabrication d'articles en papier ou en carton
22.1;Edition
22.2;Imprimerie
22.3;Reproduction d'enregistrements
23.1;Cokéfaction
23.2;Raffinage de pétrole
23.3;Elaboration et transformation de matières nucléaires
24.1;Industrie chimique de base
24.2;Fabrication de produits agrochimiques
24.3;Fabrication de peintures et vernis
24.4;Industrie pharmaceutique
24.5;Fabrication de savons, de parfums et de produits d'entretien
24.6;Fabrication d'autres produits chimiques
24.7;Fabrication de fibres artificielles ou synthétiques
25.1;Industrie du caoutchouc
25.2;Transformation des matières plastiques
26.1;Fabrication de verre et d'articles en verre
26.2;Fabrication de produits céramiques
26.3;Fabrication de carreaux en céramique
26.4;Fabrication de tuiles et briques en terre cuite
26.5;Fabrication de ciment, chaux et plâtre
26.6;Fabrication d'ouvrages en béton ou en plâtre
26.7;Taille, façonnage et finissage de pierres ornementales et de construction
26.8;Fabrication de produits minéraux divers
27.1;Sidérurgie
27.2;Fabrication de tubes
27.3;Autres opérations de première transformation de l'acier
27.4;Production de métaux non ferreux
27.5;Fonderie
28.1;Fabrication d'éléments en métal pour la construction
28.2;Fabrication de réservoirs métalliques et de chaudières pour le chauffage central
28.3;Chaudronnerie
28.4;"Forge, emboutissage, estampage ; métallurgie des poudres"
28.5;"Traitement des métaux ; mécanique générale"
28.6;Fabrication de coutellerie, d'outillage et de quincaillerie
28.7;Fabrication d'autres ouvrages en métaux
29.1;Fabrication d'équipements mécaniques
29.2;Fabrication de machines d'usage général
29.3;Fabrication de machines agricoles
29.4;Fabrication de machines-outils
