NAP15;NAP40;NAP100;NAP600;LIB_NAP600;LIB_NAP100;LIB_NAP40;LIB_NAP15
U01;T01;01;01.00;Cultures générales;Agriculture;Agriculture, sylviculture, pêche;Agriculture, sylviculture, pêche
U01;T01;01;01.07;Cultures générales associées à d'autres activités agricoles;Agriculture;Agriculture, sylviculture, pêche;Agriculture, sylviculture, pêche
U01;T01;01;01.10;"Production de légumes frais, de fleurs; pépinières";Agriculture;Agriculture, sylviculture, pêche;Agriculture, sylviculture, pêche
U01;T01;01;01.16;Cultures fruitières;Agriculture;Agriculture, sylviculture, pêche;Agriculture, sylviculture, pêche
U01;T01;01;01.17;Viticulture;Agriculture;Agriculture, sylviculture, pêche;Agriculture, sylviculture, pêche
U01;T01;01;01.30;Vinification;Agriculture;Agriculture, sylviculture, pêche;Agriculture, sylviculture, pêche
U01;T01;01;01.50;Elevage de bovins;Agriculture;Agriculture, sylviculture, pêche;Agriculture, sylviculture, pêche
U01;T01;01;01.56;Elevage de bovins associé à d'autres activités agricoles;Agriculture;Agriculture, sylviculture, pêche;Agriculture, sylviculture, pêche
U01;T01;01;01.57;Elevage d'ovins, caprins, équins;Agriculture;Agriculture, sylviculture, pêche;Agriculture, sylviculture, pêche
U01;T01;01;01.60;Elevage de porcins;Agriculture;Agriculture, sylviculture, pêche;Agriculture, sylviculture, pêche
U01;T01;01;01.63;Aviculture;Agriculture;Agriculture, sylviculture, pêche;Agriculture, sylviculture, pêche
U01;T01;01;01.70;Productions agricoles diverses;Agriculture;Agriculture, sylviculture, pêche;Agriculture, sylviculture, pêche
U01;T01;01;01.74;Chasse et piégeage;Agriculture;Agriculture, sylviculture, pêche;Agriculture, sylviculture, pêche
U01;T01;01;01.80;Travaux agricoles à façon;Agriculture;Agriculture, sylviculture, pêche;Agriculture, sylviculture, pêche
U01;T01;01;01.90;Services effectués au profit de l'élevage;Agriculture;Agriculture, sylviculture, pêche;Agriculture, sylviculture, pêche
U01;T01;02;02.10;Sylviculture et services aux forêts;Sylviculture et exploitation forestière;Agriculture, sylviculture, pêche;Agriculture, sylviculture, pêche
U01;T01;02;02.20;Exploitation forestière;Sylviculture et exploitation forestière;Agriculture, sylviculture, pêche;Agriculture, sylviculture, pêche
U01;T01;03;03.10;Pêche en mer;Pêche;Agriculture, sylviculture, pêche;Agriculture, sylviculture, pêche
U01;T01;03;03.20;Conchyliculture;Pêche;Agriculture, sylviculture, pêche;Agriculture, sylviculture, pêche
U01;T01;03;03.30;Pisciculture et pêche en eau douce;Pêche;Agriculture, sylviculture, pêche;Agriculture, sylviculture, pêche
U01;T01;03;03.40;Culture et récolte de produits marins divers;Pêche;Agriculture, sylviculture, pêche;Agriculture, sylviculture, pêche
U02;T02;35;35.01;Abattage du bétail;Industrie de la viande;Industries de la viande et du lait;Industries agricoles et alimentaires
U02;T02;35;35.04;Fabrication de charcuterie et de conserves de viandes;Industrie de la viande;Industries de la viande et du lait;Industries agricoles et alimentaires
U02;T02;35;35.05;Abattage de volaille;Industrie de la viande;Industries de la viande et du lait;Industries agricoles et alimentaires
U02;T02;36;36.10;Industrie laitière;Industrie laitière;Industries de la viande et du lait;Industries agricoles et alimentaires
U02;T02;36;36.20;Fabrication de crèmes glacées, glaces et sorbets;Industrie laitière;Industries de la viande et du lait;Industries agricoles et alimentaires
U02;T03;37;37.01;Conserverie de fruits et confitures;Fabrication de conserves;Autres industries agricoles et alimentaires;Industries agricoles et alimentaires
U02;T03;37;37.02;Conserverie de légumes;Fabrication de conserves;Autres industries agricoles et alimentaires;Industries agricoles et alimentaires
U02;T03;37;37.03;Conserverie de poissons;Fabrication de conserves;Autres industries agricoles et alimentaires;Industries agricoles et alimentaires
U02;T03;37;37.04;Préparation de plats cuisinés;Fabrication de conserves;Autres industries agricoles et alimentaires;Industries agricoles et alimentaires
U02;T03;38;38.10;Fabrication industrielle de pain et de pâtisserie fraîche;Boulangerie, pâtisserie;Autres industries agricoles et alimentaires;Industries agricoles et alimentaires
U02;T03;38;38.40;Boulangerie, pâtisserie;Boulangerie, pâtisserie;Autres industries agricoles et alimentaires;Industries agricoles et alimentaires
U02;T03;38;38.50;Pâtisserie;Boulangerie, pâtisserie;Autres industries agricoles et alimentaires;Industries agricoles et alimentaires
U02;T03;39;39.01;Meunerie;Travail du grain;Autres industries agricoles et alimentaires;Industries agricoles et alimentaires
U02;T03;39;39.02;Biscuiterie, biscotterie;Travail du grain;Autres industries agricoles et alimentaires;Industries agricoles et alimentaires
U02;T03;39;39.03;Semoulerie;Travail du grain;Autres industries agricoles et alimentaires;Industries agricoles et alimentaires
U02;T03;39;39.04;Fabrication de pâtes alimentaires et de couscous;Travail du grain;Autres industries agricoles et alimentaires;Industries agricoles et alimentaires
U02;T03;39;39.05;Transformation de céréales secondaires;Travail du grain;Autres industries agricoles et alimentaires;Industries agricoles et alimentaires
U02;T03;39;39.06;Malterie;Travail du grain;Autres industries agricoles et alimentaires;Industries agricoles et alimentaires
U02;T03;39;39.07;Fabrication de produits amylacés;Travail du grain;Autres industries agricoles et alimentaires;Industries agricoles et alimentaires
U02;T03;39;39.08;Fabrication d'aliments pour animaux;Travail du grain;Autres industries agricoles et alimentaires;Industries agricoles et alimentaires
U02;T03;40;40.11;Fabrication d'huiles et corps gras bruts;Fabrication de produits alimentaires divers;Autres industries agricoles et alimentaires;Industries agricoles et alimentaires
U02;T03;40;40.12;Fabrication d'huiles et corps gras raffinés et de margarine;Fabrication de produits alimentaires divers;Autres industries agricoles et alimentaires;Industries agricoles et alimentaires
U02;T03;40;40.21;Sucreries, raffineries de sucre;Fabrication de produits alimentaires divers;Autres industries agricoles et alimentaires;Industries agricoles et alimentaires
U02;T03;40;40.31;Chocolaterie, confiserie;Fabrication de produits alimentaires divers;Autres industries agricoles et alimentaires;Industries agricoles et alimentaires
U02;T03;40;40.32;Torréfaction et brûlerie de café, thé, chicorée et infusions, préparation d'épices et herbes aromatiques;Fabrication de produits alimentaires divers;Autres industries agricoles et alimentaires;Industries agricoles et alimentaires
U02;T03;40;40.33;Fabrication de condiments, vinaigre, sauces préparées;Fabrication de produits alimentaires divers;Autres industries agricoles et alimentaires;Industries agricoles et alimentaires
U02;T03;40;40.34;Fabrication d'aliments diététiques, aliments pour bébé, produits de régime;Fabrication de produits alimentaires divers;Autres industries agricoles et alimentaires;Industries agricoles et alimentaires
U02;T03;40;40.35;Fabrication d'entremets, desserts ménagers et petits déjeuners;Fabrication de produits alimentaires divers;Autres industries agricoles et alimentaires;Industries agricoles et alimentaires
U02;T03;40;40.36;Fabrication de bouillons et potages;Fabrication de produits alimentaires divers;Autres industries agricoles et alimentaires;Industries agricoles et alimentaires
U02;T03;40;40.37;Fabrication de produits alimentaires divers;Fabrication de produits alimentaires divers;Autres industries agricoles et alimentaires;Industries agricoles et alimentaires
U02;T03;41;41.01;Distillation d'alcool;Fabrication de boissons et alcools;Autres industries agricoles et alimentaires;Industries agricoles et alimentaires
U02;T03;41;41.02;Distillation d'eau de vie naturelle;Fabrication de boissons et alcools;Autres industries agricoles et alimentaires;Industries agricoles et alimentaires
U02;T03;41;41.03;Production de liqueurs et apéritifs alcoolisés autres qu'à base de vin;Fabrication de boissons et alcools;Autres industries agricoles et alimentaires;Industries agricoles et alimentaires
U02;T03;41;41.04;Production d'apéritifs à base de vin;Fabrication de boissons et alcools;Autres industries agricoles et alimentaires;Industries agricoles et alimentaires
U02;T03;41;41.05;Champagnisation;Fabrication de boissons et alcools;Autres industries agricoles et alimentaires;Industries agricoles et alimentaires
U02;T03;41;41.06;Brasserie;Fabrication de boissons et alcools;Autres industries agricoles et alimentaires;Industries agricoles et alimentaires
U02;T03;41;41.07;Cidrerie;Fabrication de boissons et alcools;Autres industries agricoles et alimentaires;Industries agricoles et alimentaires
U02;T03;41;41.08;Production de jus de fruits et de légumes;Fabrication de boissons et alcools;Autres industries agricoles et alimentaires;Industries agricoles et alimentaires
U02;T03;41;41.09;Fabrication de boissons non alcoolisées élaborées;Fabrication de boissons et alcools;Autres industries agricoles et alimentaires;Industries agricoles et alimentaires
U02;T03;41;41.10;Production d'eaux minérales naturelles;Fabrication de boissons et alcools;Autres industries agricoles et alimentaires;Industries agricoles et alimentaires
U02;T03;42;42.01;Transformation du tabac;Transformation du tabac;Autres industries agricoles et alimentaires;Industries agricoles et alimentaires
U03;T04;04;04.11;Production de combustibles minéraux solides;Production de combustibles minéraux solides et cokéfaction;Production de combustibles minéraux solides et cokéfaction;Production et distribution d'énergie
U03;T04;04;04.21;Cokéfaction;Production de combustibles minéraux solides et cokéfaction;Production de combustibles minéraux solides et cokéfaction;Production et distribution d'énergie
U03;T05;05;05.11;Extraction de pétrole;Production de pétrole et de gaz naturel;Production de pétrole et de gaz naturel;Production et distribution d'énergie
U03;T05;05;05.21;Extraction de gaz naturel;Production de pétrole et de gaz naturel;Production de pétrole et de gaz naturel;Production et distribution d'énergie
U03;T05;05;05.31;Raffinage de pétrole;Production de pétrole et de gaz naturel;Production de pétrole et de gaz naturel;Production et distribution d'énergie
U03;T06;06;06.01;Production et distribution d'électricité;Production et distribution d'électricité;Production et distribution d'électricité, distribution de gaz et d'eau;Production et distribution d'énergie
U03;T06;07;07.01;Distribution de gaz;Distribution de gaz;Production et distribution d'électricité, distribution de gaz et d'eau;Production et distribution d'énergie
